Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
51368,39959;42643,44802;34584,27667;39203,30003;40607,71669;39032,80561;32705,56386;27959,42379;33919,25028;39983,96007;46539,63613;49746,76097
42901,62517;36205,66438;39538,12465;43203,21375;41483,23915;38919,70288;30888,07109;30535,95337;37099,18278;43359,90574;48067,54679;53386,58419
47395,55187;38695,89712;38392,68461;40173,71164;37820,11414;33288,53758;27645,64433;28363,87197;31183,98992;36047,96248;45812,46971;48455,27271
44011,51048;34848,88005;29980,15672;34699,49907;37404,94816;37077,39521;35447,0226;31395,40388;34962,86247;36548,08329;39808,54001;39950,32482
32278,2604;27219,79506;26281,82077;28639,79052;28491,25993;27098,07094;25168,37073;28480,91693;35251,16239;39857,06843;44562,42868;47183,83571
37780,43151;32632,29489;33980,31377;36336,91255;39102,46061;36326,05331;32176,20678;31803,10723;38262,6634;41514,66262;47936,35014;52019,78173
43420,8445;36906,23644;33888,34019;35129,27035;35004,82615;31362,0514;26232,80571;25512,57752;33701,23775;37125,8401;44885,29279;53717,66233
50610,48353;38632,70879;35168,82228;34590,93603;39050,85872;36452,36166;32057,40867;29548,3829;32250,06615;36020,6595;43910,77047;46983,86456
40310,93604;35455,62434;39403,13985;41786,30523;43676,812;42691,39961;36081,89811;32923,72477;39797,45905;46089,84374;54043,58652;58097,2483
41997,44559;35231,24637;35526,68768;37212,73615;37205,29712;33536,0374;26822,8701;27560,80218;33258,26557;40503,78296;48595,11915;50715,30662
35315,29672;30667,76405;28948,10689;36302,61534;35946,97447;30048,26941;25073,05257;26784,54806;31615,7455;40896,05026;48160,67485;54586,05077
43446,42219;29700,46119;28766,80922;29547,66597;31430,96719;31197,95804;30117,48983;30895,07823;35409,99132;38387,67459;47368,67327;53710,84739
42162,88796;34200,20759;31568,48415;34315,84247;32717,07752;30881,46037;27583,88101;24678,10983;31103,38434;41967,78547;51346,95301;53741,16047
47122,73209;39528,41604;36519,38829;35077,01726;39824,1112;36858,87524;29854,69328;29350,54935;36236,32674;43806,11439;51794,18998;59043,77823
49253,61729;35729,80821;33175,49733;39379,023;43772,94482;38060,12934;37071,0185;37276,07337;41498,36634;47755,90917;53307,80788;61288,17245
54364,82079;45556,68709;37386,74987;40169,91526;44500,42248;40415,50717;36329,49903;33939,18581;37694,74657;44195,55774;55007,39493;54741,93329
49669,62904;39471,74595;36707,67308;41118,11987;43118,41792;40925,73303;35945,5797;34887,89618;37645,79949;42934,48501;56773,46029;62267,99302
54195,64033;41390,55218;36278,80279;39593,23598;42371,94169;42567,17674;34613,06978;30275,55938;34589,36166;39236,86167;47332,39294;50294,51134
46025,92949;35381,97995;33161,20425;35090,32598;39133,50354;40511,62083;31766,52613;33164,80635;34827,50916;41335,43339;50914,14585;53644,45909
46321,90508;38151,92198;37137,99371;41648,68256;43365,06144;43668,8749;33993,49127;29353,03041;34682,56019;40272,98358;42082,85068;43783,8361
36240,56519;27469,5904;28347,9086;28088,24106;26438,67229;28301,38621;26049,28001;27550,67086;35317,72962;40757,18817;44361,76163;48181,23826
39617,56995;33487,36197;34062,71672;39388,507;43651,22777;38567,30382;32811,33426;32293,68249;38869,14595;44912,53031;52531,62536;54603,12116
44110,13596;38144,43896;36969,71279;43833,12796;50219,05699;53846,196;42973,54483;34816,84713;39253,22688;48063,52965;56815,28429;63073,15262
51189,22954;43058,36041;37636,73269;40919,54626;40743,03622;38157,92267;34641,56148;32525,20715;33859,84303;35720,10876;41948,04024;45676,72187
38365,86857;36219,46508;38188,03262;43738,31179;50224,14249;50807,39891;44635,11632;39303,52915;41382,42753;45777,97232;57701,74934;60895,03384
50641,29504;38113,44203;36814,82533;40519,24455;41660,70519;38105,24413;31373,61522;31882,70301;36239,06793;44111,74137;52182,50407;56273,60064
47563,00107;37885,56264;35437,57288;37154,58736;38702,61279;37589,78476;31995,88556;30032,78069;39359,16723;47280,01374;53230,74951;58461,97294
52981,36409;39833,10714;33866,33291;36544,4034;37199,12171;37255,62979;33562,20077;33608,80694;41077,81243;46968,92618;54265,84556;59449,55904
56173,0395;41874,57519;36109,26027;39564,3177;39433,69574;34913,88736;29624,78032;31329,05874;37747,41493;43169,2071;47383,74012;48553,35992
44497,05866;35547,45685;32941,01423;38570,16944;46701,83652;42980,38993;37678,62858;31262,63461;34924,40823;39789,00108;49798,02021;52908,43899
44462,90372;35728,42606;33381,70123;36885,66403;37358,74389;33027,58857;29670,43886;31065,23815;33296,14768;36809,01458;43716,34089;48153,09875
38870,99605;28600,098;26607,21984;29808,98153;32524,32194;31311,27906;28236,1705;28198,88115;33805,92615;36495,83263;42248,58008;50989,32597
46398,14367;34963,27212;32265,93077;37057,14267;38561,49606;32018,56535;29935,73563;31982,99954;37474,95891;42197,48222;50299,18101;57034,69758
42030,98271;34497,3893;30981,86315;35993,31951;38359,33797;36417,16047;32700,0346;32841,6455;39207,41813;43065,22049;50591,13945;58928,81565
41617,90148;34652,56981;34387,37738;32760,14292;33775,74352;31603,6389;29622,64484;31880,17856;36829,89158;42088,51533;46734,75534;51036,53432
42451,76861;37135,23496;35838,30312;39325,61591;35973,60465;34077,13374;33738,56361;35169,72156;41822,5302;48611,03667;57233,23981;67204,32548
54969,30378;41128,93133;36869,67685;36850,87155;37874,97324;36049,795;30424,29787;31802,3627;35796,1124;44414,21999;54745,40593;64894,70755
58385,3254;44596,80465;37668,94642;40653,22355;45423,62028;43172,91249;32922,64445;35094,65805;41929,29598;50688,7662;65810,46777;82900,33384
89688,91186;65314,91788;50496,2216;50636,15802;45841,20638;41505,21997;39001,26913;37148,16617;40623,41797;43795,52482;48918,03386;54159,82674
56870,28551;39913,07777;34149,29416;37736,19889;38805,3151;37113,82347;32926,8247;32574,81253;42621,02825;50638,82078;61637,93629;64252,2216
60150,66103;44909,15183;37564,2002;42530,41391;42396,98673;39607,19632;35960,53632;33683,49591;42502,72732;54295,42245;59686,66455;56593,00975
49888,41397;41621,69686;36613,39737;38018,7994;37880,42055;34604,52643;30868,90741;30718,8338;35508,93164;45136,70435;56167,35745;53270,5001
41320,31093;32197,61268;32133,27978;34305,27479;36735,31322;32779,60396;29396,85018;30840,3187;37080,2567;44848,70836;50443,42974;54038,78018
46087,44042;34944,59759;31793,40455;31945,33627;34760,04983;31792,46065;28439,44657;29310,37656;34016,35931;41851,04879;49745,63113;49766,54576
44043,05399;32623,19637;31551,85552;29674,25122;33422,41784;31463,36414;26220,27038;26275,36031;30768,87731;38322,94286;48904,53996;47386,85507
42544,62498;37923,65789;36230,97278;36316,25113;34378,51097;28559,32139;24615,22105;27605,52643;32657,4751;38532,66781;46688,02799;53281,41481
50235,92648;41131,01262;31627,36452;37975,2607;42718,63657;40955,37711;35665,78152;35175,82024;38719,18921;48040,05051;53037,96648;51317,47462
56407,08898;43457,00449;36419,8774;36783,55255;39114,31952;34255,6874;25149,07096;26803,33933;34871,79865;43354,30548;49929,6949;49472,39218
52172,39572;45412,40078;39353,94261;41946,69367;43567,60444;38909,07312;31828,89448;33363,67763;35596,15776;40846,28484;51638,40578;55914,52486
51737,60431;34108,25337;27895,68622;29876,94656;32166,79686;29793,23742;28357,10096;30485,70616;37163,56454;42667,96319;49795,22254;51215,1911
48896,33605;39044,14356;38337,01505;38984,02046;36036,95314;32546,35669;29109,06147;26268,60931;35085,1479;42940,60277;46384,86726;46708,29259
40193,48428;30450,15345;31082,10195;32196,15533;35393,32922;36556,9473;29257,68193;27448,37273;34797,92924;39279,73885;46737,02426;46268,92536
35778,95311;32389,96409;32762,63152;32494,45663;34952,89515;30976,70946;26063,85899;25235,19308;30470,7288;35069,84691;43058,89115;48425,52719
42177,24275;36838,87842;37107,35055;39887,88179;42709,73682;41324,2456;35372,65423;32521,89331;39021,15119;43597,57652;55033,10826;58227,69248
47183,98545;34050,13129;32998,99238;38874,39515;41094,34378;37457,81849;33433,70489;29860,9395;35793,5035;45373,21481;53195,45527;52713,62668
43919,77077;33954,36568;28869,78742;30011,60706;29989,67052;27038,80752;24939,30833;29706,20735;36372,38281;43645,47647;52947,16277;54318,74829
41980,83223;34055,18488;29892,31374;31360,00246;31780,85005;28326,42022;24201,756;25677,18799;31333,81335;35960,95857;40313,36455;41320,47196
30205,68057;22479,38272;23929,49477;29349,146;34626,43633;30601,89306;26466,26274;25576,56744;29464,77125;33047,3418;42571,12315;45362,6047
28943,59783;25289,40462;26566,82589;28631,8694;31083,8075;29721,65725;27498,73494;28018,5207;31936,30505;37984,16152;46033,28511;50144,58574
34530,2726;26504,23549;28108,50941;29838,83404;32934,40001;31453,13018;26438,91741;24318,56782;30326,60096;35570,43214;44973,23417;52804,2011
37720,81446;32855,00919;33036,46989;33099,10713;34245,33936;34815,20113;30924,4977;30654,96825;35388,2229;40213,48726;45603,30057;47912,65744
36495,86844;30226,81313;29545,51736;34117,99816;34513,33152;34327,38957;31644,78869;27694,38896;33550,96387;42505,17184;51852,6324;53206,58251
41783,8633;34555,20285;30407,8616;30379,26439;35149,77481;31183,36732;31941,95305;34271,41248;39140,05096;49390,65821;57771,00036;64418,51344
61732,96871;54657,84886;45127,35979;52210,73384;56980,4944;48613,06402;40525,65976;38931,06731;46501,53077;57400,33477;64157,80164;66610,00826
72504,26346;63156,92867;51452,87686;52630,16369;54785,13157;51189,71303;44135,62852;38400,71567;45705,03577;53382,52837;63872,36861;73175,91844
64661,67163;46365,29126;42511,93304;39948,7399;35861,12027;30573,38713;26712,11125;25062,64357;32858,675;40927,40828;50057,41292;57221,6959
45069,97599;31476,26504;31004,95961;34464,28842;33952,37346;33248,91261;27439,31348;31089,31875;36516,05996;43362,51334;52443,18427;61334,98124
55281,58772;42329,61671;37784,09423;41772,39748;41768,961;37871,26712;32137,43871;33954,96674;38795,09276;49646,40971;58899,3576;59338,13519
47651,78666;36334,92166;33250,95121;30401,63658;29582,6458;27975,75829;25665,5214;29129,35319;33796,0422;39150,27222;42325,9917;45035,14909
43854,68525;40010,16565;34218,6411;38688,43135;39672,79462;37449,24199;30851,31322;33626,03187;38253,29397;40770,33665;45270,20136;46076,10273
41752,62938;33450,8493;33604,08387;36946,92238;37501,71559;33739,60125;29846,38703;29315,20835;36331,20903;41152,49691;45919,18682;48705,72412
44880,44979;36534,70438;36471,00486;38237,50906;38918,53394;36109,87102;34510,18782;35027,99695;39705,69465;48588,00551;52464,21685;52180,76748
44449,80078;35989,84387;35162,48836;37473,90785;44221,62199;46361,20923;37311,10435;35180,89871;37431,45198;41286,17086;47785,19762;47538,26905
39497,44588;32059,16186;30755,75871;32969,62243;35577,68933;32950,1308;28723,84388;32284,18434;36008,91518;42442,94467;47819,75906;47010,49083
37444,95528;32243,31599;29427,79713;30701,19246;31492,17654;29729,81018;30892,71006;32270,05071;36320,60239;43880,84329;49201,42408;47652,70271
38256,65901;37708,89963;32942,13159;36340,51297;37879,51971;35926,7279;31604,72725;31607,13037;39296,47709;51468,90966;60180,15619;56240,31317
40039,34529;32975,84586;31659,47027;34150,46485;36470,97738;33628,00539;28713,76115;28518,89412;32133,11214;39502,23796;45710,27893;48384,90938
34404,91981;29284,48562;30440,97842;33003,46442;36484,54514;34012,46823;30033,45903;28865,17677;37009,14016;45847,50957;53763,1348;57199,90323
41804,4357;33707,5374;34446,53057;42090,20965;44306,35402;42543,14591;41116,26489;39448,99563;39885,88694;42866,71081;47664,78145;49435,35815
36882,0163;31639,75723;30309,03901;29678,19585;30405,03227;31613,28723;29031,21901;31880,78216;36262,14753;39311,54559;51285,94132;63725,58819
55428,81031;42751,09155;39230,17726;40988,80498;42543,43072;39935,71589;31752,08324;34353,6385;36313,60462;37551,40163;45218,82845;52729,08428
51004,39301;40609,49161;37436,63133;41771,53011;44696,69824;39373,59659;35377,11024;33858,32757;42323,30813;46563,82068;53572,25998;56393,75803
47930,79218;40015,03132;36514,01243;37108,39333;38384,4504;37113,63572;32745,40603;32577,04776;34928,39047;41172,41654;51671,82932;55133,62681
44672,42927;36039,47358;34758,79349;38555,6452;41817,15371;39427,42489;29637,01232;27465,67476;32944,36892;38884,74198;48082,62454;52544,65069
41415,15506;31674,68509;29882,16809;30189,11911;32253,55369;29262,01518;24576,60994;29009,58014;35201,20727;44523,19872;55818,78428;58828,35013
43962,10062;34374,43711;31626,35566;34439,54398;39010,7381;35218,08503;30920,37781;34640,79122;40002,02224;48932,3736;54569,94577;58349,9022
45570,46223;37540,4106;35591,98861;39267,88116;40221,41777;35544,07483;29964,0528;32905,56042;39703,53992;51561,50988;60921,11132;62192,18552
47867,42844;36930,70626;33369,24544;40013,5298;43296,5568;40515,26861;35146,75733;37091,93265;37851,26248;46738,28687;56660,09118;62316,99162
50344,62154;39660,31835;36712,82559;41002,05799;41753,04799;37860,47789;33022,65485;31938,36871;38999,59926;44504,51251;53343,60347;61664,56754
50945,25769;40215,5647;38074,31805;43830,72871;45196,58621;46368,65167;40887,04204;32515,39523;34583,076;39679,84881;48041,18705;55699,23614
46298,20413;34919,41054;30768,54537;28591,46368;29230,69596;27564,3089;26265,43132;27776,61624;34425,25293;44216,17003;54906,77053;54264,67716
43300,93919;37593,89193;33935,07435;35822,32371;40139,14022;39886,74619;32700,19747;31441,1982;36450,83653;44982,19307;53896,33319;50410,83336
32395,67771;26198,42901;23182,1215;27724,18265;30904,13583;28764,82132;26157,34711;27555,8966;32634,26537;41285,07135;49176,94855;49146,85233
32542,01803;25904,40689;23235,90502;24756,48944;25660,65319;25762,95751;25736,51806;28049,20142;34124,14358;38972,10825;47733,49607;56152,8114
44007,28302;38278,98079;34412,16932;34923,25152;30154,15132;27487,12374;27742,09561;27963,27632;33192,52004;42353,69291;54941,6413;60150,10303
41305,37003;29776,13403;26677,74867;29390,66469;26377,62048;25523,49573;26259,51359;26050,30084;33634,98677;39690,10326;48735,76089;59194,8372
42390,17424;33575,33804;28521,2199;30641,46827;32591,84631;28048,05065;26067,06299;29454,2511;36714,86187;46030,05855;58698,56414;62376,63757
45080,25343;39309,51269;35356,45146;35291,32169;34687,59615;30620,97954;26907,15165;26832,17773;33361,18019;43874,84085;54298,11236;62650,23685
53081,21964;45637,65594;40476,10859;39989,87994;39884,32329;36585,78475;33219,63281;28202,70004;34189,27537;42113,77267;56117,18074;67165,4951
65888,83317;52965,33221;48533,96154;51166,52201;52137,61441;44577,45163;42071,29592;38603,11312;40887,54704;45894,90614;54349,49257;59814,27014
55304,93067;42023,70131;39071,77916;40401,85762;43291,74248;40554,40907;33880,02556;31342,38949;39936,64042;52430,13046;68181,97886;79839,18173
68167,83755;47366,65327;39661,49153;37386,53748;37218,82201;36618,32376;32598,69239;35213,44361;40892,01793;46282,07936;51741,17225;55013,30005
45786,44884;39810,16799;36874,34426;36084,90271;35080,90146;31333,22787;26320,18887;28976,84963;34690,40904;40160,50348;51541,1643;52805,34795
41247,17305;34973,45217;35057,06225;35179,22457;32399,42844;29376,62499;25919,8169;26720,91457;30273,76365;36199,73843;48730,98996;56184,18548
44683,57846;33449,86978;30879,47954;29426,58343;30519,74448;28129,15326;25361,23527;24867,66311;30687,39001;39254,36972;50136,15872;57818,48515
50635,08773;34270,12533;30852,85176;29220,47412;34286,33179;34372,83418;31045,19281;28029,4182;31713,69827;40101,0246;53414,82546;56628,53946
44578,77472;34144,58079;28476,61027;31788,08539;34106,4326;30996,18792;28230,38497;29250,3846;32680,51943;42620,35839;56633,40049;57783,39104
46865,31018;36797,67006;33407,68885;36334,80156;37722,16978;37749,02613;28447,17381;32636,91368;40173,58724;43158,10796;49323,16861;51387,98982
41713,35135;38158,27441;36503,91975;35884,60921;38807,71626;32397,70558;27328,11431;26316,54765;33474,8631;36700,60674;44475,53836;53318,23659
46169,01368;38684,00092;33564,05853;35515,48825;41352,89917;41901,06183;34790,28013;35985,35258;40734,50385;46693,4072;52229,89212;52992,43649
47336,31951;41218,80672;35972,67239;37885,05932;41524,11491;38598,13435;34476,98233;31462,85465;36188,47691;42860,82152;52419,09813;58327,86188
54800,82501;39344,70645;37440,08121;38260,01405;37933,55332;37664,15627;34737,83042;34123,69657;35935,62711;45929,77561;57501,52243;59958,53758
51724,68594;39246,15767;36674,46663;44192,93107;46989,98397;46264,74914;38913,63009;34145,98735;38436,79281;45912,3108;55223,0012;56850,37873
42904,38623;37132,25478;32720,48673;31493,97254;32301,41024;30876,80164;24651,83566;29347,74867;35069,71547;47738,90482;57685,66566;57086,43493
37753,41562;27972,47082;26558,70323;30389,20559;32758,57626;29636,9662;26191,17216;28138,58881;35270,44996;45135,48408;52955,92818;51454,4546
33409,47704;27508,3575;28930,17042;29767,82165;29902,97736;29254,26512;27741,12741;30481,38522;36686,46615;41878,59549;50258,95485;54963,93379
43828,88119;34941,66193;31396,78864;33939,24807;29899,30168;27826,08885;25670,60146;30564,36621;33687,96697;40496,38488;45902,72136;51699,85671
45736,94078;40048,61784;36677,97857;36326,63629;37096,73272;33926,08835;29204,74681;31409,01808;36951,20258;45489,82352;53969,44343;58996,67972
51049,33203;39846,40804;38366,02547;45054,7027;47006,65523;44250,58688;35662,35051;35412,96965;38322,92207;42334,2836;51610,73227;59677,65085
59020,23123;48459,59878;39385,1646;42538,48844;45752,68016;42655,06602;35493,94221;32652,43746;37097,48951;42996,32947;48984,35066;54190,48401
48304,27897;37431,75494;35087,82718;35380,88553;32196,25306;32558,19101;27369,21967;27112,40677;33507,11234;38951,3499;48126,00633;56008,36069
57503,70384;46734,5613;41355,19929;45990,14032;52397,79174;53017,33157;42075,60589;38595,41567;41441,51166;44624,80188;47015,9462;49268,37301
45851,84349;42175,99261;39126,19121;37624,71893;39146,74878;36114,13945;30900,82177;29476,61565;33731,41312;39043,70295;48315,49836;53900,82894
50193,28703;40474,42366;40093,42036;38322,20368;40343,77835;38449,30177;32987,36877;32033,76013;37269,00865;45938,90584;49353,44068;50157,9254
44421,77278;34674,17432;31497,96314;36693,91107;41026,09863;36456,04361;30823,68558;28772,82799;34838,97249;42945,56904;50155,08436;56439,53787
48478,54887;36163,61619;31194,93644;33444,21764;37702,22752;32519,59808;29140,91938;28760,81369;35137,03274;42580,74784;48660,97125;50841,53934
46698,29232;37419,9978;30905,19027;32551,88017;37887,55674;33905,90249;30595,32132;30629,20735;37906,33855;43526,64264;50673,79116;55978,90479
52350,29926;39822,2838;36843,23586;41701,97731;42176,37073;36930,66439;33718,64625;33899,70024;37052,67444;44329,77909;53987,82332;57747,83529
50608,77348;36774,1955;38815,17562;43511,49284;43442,72034;43822,51464;42249,80235;39340,62473;45626,84631;54390,05111;63568,43074;75949,71546
67955,66551;47495,00229;45711,17038;44583,23572;45377,65348;41450,78353;35156,22705;31901,36691;35334,41797;42243,48008;54538,1602;65284,94862
60692,24162;41637,9001;36875,41857;37881,46804;41167,55194;38120,9175;31817,07691;30329,81711;38008,24829;43032,63661;51486,65304;57005,74805
50370,77941;39062,61591;37716,58924;35347,27071;35465,19693;33070,0428;30762,44457;30217,94659;36227,60474;44726,9244;49850,43791;51138,07437
44317,56578;37798,73544;33736,27451;35987,97595;39562,54808;35840,68682;32725,86923;36747,32037;39412,46051;45348,55971;56006,43259;57154,54979
47692,38563;43015,44604;38236,35261;44576,78627;46141,4255;37650,29269;27513,22121;26578,75482;33047,45361;44099,4596;54486,25988;67357,7887
64909,01749;43324,68186;32542,06011;34532,21532;34966,54702;33920,19339;27437,32714;27387,31295;32937,78899;41829,47138;56737,44887;71078,13082
67669,59117;50437,01393;43805,07695;43021,49372;40254,40493;34959,48543;31941,47468;29315,06911;38093,96235;42442,00105;57499,35096;70843,46617
65287,57617;50056,19755;36999,81983;35172,34624;34145,79405;34291,28714;31081,58798;28486,40422;37386,09201;47422,67076;62720,99329;66045,19084
47780,93052;37772,21679;32469,10784;29605,51407;30554,20459;29665,91587;24493,70616;28325,59103;34317,10334;46155,31496;61632,16918;67506,6322
47928,80627;38667,04864;31655,69721;36722,51016;42083,35511;45434,53458;35994,67424;32191,95795;36736,21859;44361,93502;51392,94746;54403,2619
35674,1692;29424,81713;27617,90485;34102,73213;35292,42879;33194,43103;32845,28144;31499,6322;38532,61992;49516,66364;64973,19612;76689,02228
56844,13454;44933,30553;36995,62766;39157,63808;40416,1953;37185,1498;29433,18503;28418,47592;37795,17313;51384,66195;67257,43058;65593,15404
48229,81826;40930,61589;31093,12801;31113,59241;31312,54242;29630,9065;24607,57732;24453,31463;30655,68584;40389,87748;47341,26229;54855,65935
40519,09568;31155,01518;28512,31498;30270,56912;32876,6001;29592,39978;24242,06022;26210,77214;29269,6277;40542,28126;55017,62591;60177,42452
48799,59065;44142,68553;37560,1861;41621,87394;42191,78668;44140,10887;37913,74641;34686,37563;38077,73748;45350,57129;53497,46898;57557,2503
46559,57061;35239,3191;34950,38417;33821,03608;36302,30934;32771,61088;27212,19513;25378,88474;31309,31648;39091,63487;49200,40311;52646,66762
37463,44572;30034,71757;32105,74584;32280,35337;32258,87193;30444,13848;30678,84834;29335,75091;34519,61654;40482,83388;49244,51106;52032,29091
44697,3526;37305,3174;38128,98098;35558,86469;38156,30228;37416,19672;29169,6867;27153,81652;33638,27632;40394,27779;53560,80575;59588,30507
45621,05239;31308,95227;28386,43484;30636,04842;32159,47403;31458,08217;25779,56632;25719,63824;35586,48743;42791,10586;48329,2516;51410,80286
42385,29387;39210,04442;32392,89265;35489,6571;37996,18399;39354,69391;36234,86372;34075,12173;38535,61549;43769,17506;52270,89548;61612,33145
58148,36537;43285,42902;34733,82922;39669,31406;42002,47623;37830,40735;32400,34723;31152,30094;34926,25678;37338,11033;45304,12353;49597,52397
47476,44542;37127,42529;30977,78654;36428,66847;36101,70165;35831,25462;30883,13755;28525,37562;33587,77178;40110,2155;48990,3936;53365,73454
46274,30388;36429,66708;29799,51529;34767,05048;37025,83575;34439,348;29626,31866;31865,98151;36728,02844;42959,68398;50599,45524;55293,20235
46457,20345;35530,76172;29169,21046;31959,49879;34271,00559;30338,31619;26653,00073;29889,74952;32136,99367;36950,17719;45238,12821;45826,79193
40258,47811;33598,01528;32223,54167;31787,1346;32675,97015;31250,50857;27461,46827;30265,28099;36584,48237;42268,18756;49872,56932;50512,03305
46738,30373;41708,74228;35284,4302;37268,90512;33629,0815;34980,48712;32395,72803;32148,55656;37418,72418;39840,76372;46727,78719;56163,7403
54036,30187;39735,15384;28752,65857;30307,74354;31838,92508;30654,40655;27504,52033;29000,22427;32759,34973;39930,96486;49868,5398;49874,11942
41209,94438;32771,83425;29648,94201;34470,63055;36821,11232;33982,17746;28487,396;31285,61573;35006,47093;40163,20973;48046,44822;55800,83345
46583,52321;34648,91361;33367,27363;31058,57618;32284,17517;27595,97436;22330,46186;25370,86476;32577,63697;40884,28134;48372,86015;55326,05645
46422,27526;33703,53724;32129,63805;35482,77451;35556,5074;34033,23062;29495,93007;25516,25748;32097,93621;41132,54488;55927,89096;63772,55516
56124,02552;42488,50152;35136,97126;35913,74406;38231,883;37649,57907;35892,81167;33839,54119;34359,34562;39222,50315;46216,10356;53091,9794
49946,11844;40397,95329;33889,91945;35814,68344;39129,69766;38925,5845;35446,87563;34371,99447;36732,53899;44172,74323;55226,62331;64818,73132
66582,48391;49089,95145;38406,93133;44715,48949;46720,04806;47176,02521;43729,41899;40448,34981;40204,12716;43765,45251;53636,92712;66142,23515
71813,07804;54263,86823;45346,24074;48913,96206;49807,24922;41642,81297;34122,81594;34866,95209;35357,43477;39030,14864;47860,49788;54495,93013
57671,95051;43986,72411;39318,39043;40594,03424;39818,84242;40411,85997;30904,57525;30324,8313;36345,47137;47580,27891;57784,69728;62846,88057
62362,35266;46496,99786;38179,97226;44329,89459;46366,43933;39741,66459;33034,34821;32936,80708;37370,58409;45440,03954;55843,93653;62196,0625
62750,26404;47320,44563;42976,42974;41739,38076;46684,69351;39927,67037;30803,86803;30826,67064;36022,44501;40992,66242;52699,76424;58131,46304
53932,25464;43829,04216;43047,19934;43017,01262;47494,68054;41246,83055;33707,57684;31899,70489;39212,08451;44710,3423;52701,79059;51100,51945
49649,13709;35729,774;32090,15581;35534,77416;36908,66769;30977,22333;29655,43261;30211,25175;33265,23484;38966,78893;50358,85576;50649,54176
38052,02579;31803,8455;32646,96035;34721,94681;33455,68;29235,89491;25058,22981;26374,89272;30106,91105;36195,23559;50259,04769;56701,72728
44118,01218;36598,36547;36956,00159;37083,08451;38147,24016;35618,49126;33418,07742;32208,9866;37979,40456;43441,8792;52817,64341;56487,00696
41784,43266;35933,28313;34395,1538;35391,04308;33981,07091;28990,4403;25892,71764;26778,64929;31753,02492;38537,0335;49800,64984;50411,91858
